,Master Regulator,Expr Log Ratio,Molecule Type,Participating regulators,Depth,Predicted Activation,Activation z-score,p-value of overlap,Network bias-corrected p-value,Target Molecules in Dataset,Causal network,Target-connected regulators,sample,sig,overlap_upstreamreg
134,PLAUR,0.381,transmembrane receptor,"AKT1,ERK,ERK1/2,MAPK1,MMP2,PLAUR",2,Inhibited,-2.6919999999999997,1.17e-13,0.0005,"APOBEC3G,ARRB1,AURKA,B2M,C3,CCL4,CD44,CEBPA,CEBPB,CLEC11A,COL1A1,DDX58,EHD1,EIF2AK2,ERAP1,ERP29,EZR,FN1,FOSL1,GBP1,GDF15,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HMOX1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IL1RN,ISG15,JUN,JUND,LAP3,MAP4K4,MKI67,MMP2,MMP9,MVP,MX2,NDRG1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PLAU,PLG,PML,POSTN,PSME2,RAB4B,SPRY2,STAT2,TAP1,TAP2,TAPBP,TGFB1,TGM2,THBS1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM",73 (6),6,24hr_PROT_causal_unique,True,
136,TREM1, ,transmembrane receptor,"ERK1/2,MAPK1,TREM1",2,Inhibited,-3.533,1.45e-13,0.0002,"ARRB1,ASNS,AURKA,B2M,BABAM2,C3,CCL4,CD44,CDK1,CEBPA,CEBPB,CLEC11A,DDX58,EHD1,EIF2AK2,ERAP1,ERP29,EZR,FN1,FNDC3A,FOSL1,GBP1,GLA,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,ITGAX,JUN,JUND,KANK1,LAP3,LPL,LRRC8C,MAD1L1,MAFF,MKI67,MMP2,MVP,MX2,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PML,PSME2,RAB4B,RGS1,RRAD,SPRY2,STAT1,STAT2,SYNJ2,TAP1,TAP2,TAPBP,THBD,THBS1,TMPO,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM",77 (3),3,24hr_PROT_causal_unique,True,
138,Ifn gamma, ,complex,"Akt,EIF2AK2,ERK1/2,GSK3B,IDO1,Ifn gamma,IRF3,IRF8,JAK2,JUN,Mapk,NFkB (complex),P38 MAPK,RAC1,RHOA,STAT1,STAT3,STAT5a/b,TP63",3,Activated,2.785,1.49e-13,0.0276,"ABCB1,APOBEC3G,APOC3,ARRB1,ATG9A,ATP6AP2,B2M,BAX,C3,C4A/C4B,CAST,CD14,CD36,CD44,CD55,CD82,CDK6,CDKN2C,CEBPA,CHI3L1,CLEC11A,COL1A1,CPT2,CSTA,CTSS,DDX58,DDX60,DNMT1,ENG,ERAP1,EZR,FABP5,FOSL1,FUBP1,GBP1,GBP2,GBP4,GOLGA2,GOT1,GPNMB,HERC5,HK2,HLA-A,HLA-DRA,HLA-E,HLA-F,HMOX1,IDI1,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,IGFBP7,IRF5,IRF8,ISG15,JUN,KAT2B,KHSRP,KRT10,KYNU,MIF,MMP2,MTA1,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NPM1,NT5E,OAS1,OAS3,PARP12,PARP9,PEA15,PLAU,PNPT1,POSTN,PRPF4,PSIP1,PTPN2,PXN,RAB4B,RCC1,RFTN1,RHOC,RSAD2,S100A4,S100A8,SAR1A,SET,SLC1A5,SLC2A1,SLC3A2,SLC7A11,SOD1,STIP1,TAP1,TAP2,TAPBP,TDO2,TGFB1,THBS1,TPM1,TRADD,TRIM21,UBE2L6,VIM,WTAP",116 (19),18,24hr_PROT_causal_unique,True,
139,NONO,-0.365,transcription regulator,"CHEK1,E2F3,ERK1/2,FANCD2,ING1,NONO,PLK1,RELA,SRC,TP53",3,Activated,3.258,1.58e-13,0.0095,"ABCB1,ABCC1,ACTB,AK1,ARHGDIB,ARRB1,ATP6AP2,AURKA,B2M,BAX,BID,BUB1B,C3,CASP1,CCL4,CD44,CDK1,CEBPA,CES2,CLEC11A,CMPK2,CTSD,DDX58,DDX60,DDX60L,DOCK8,DUT,ECM1,EIF2AK2,ENG,EPS15,ERAP1,EZR,FAM3C,FKBP3,FOSL1,FUBP1,GBP1,GBP4,GDF15,GLB1,H2AX,HERC5,HLA-A,HMGB1,HMGB2,HMGN2,HMOX1,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGF2,IGFBP3,IGFBP7,IL1RN,IPO7,IRF2BP2,ISCU,ISG15,JUN,JUND,LGALS3,LPL,MAD1L1,MGST2,MTA1,MX1,MX2,NAMPT,NDRG1,NFATC2,NT5C3A,NUCKS1,OAS1,OAS2,OAS3,OASL,PARP14,PARP9,PFKP,PHGDH,PIN1,PLAU,PML,PNPT1,PPM1A,PPP3CA,PPP4R2,PRAG1,PTPN6,PXN,RAB4B,RAD23A,RALY,RGS1,RNF213,RPS27L,RRAD,RSAD2,S100A4,S100A8,SAMD9,SERPINH1,SLFN5,SOD1,SRC,ST14,STAT1,STAT2,STMN1,TAGLN2,TANK,TAP2,TAPBP,TFRC,TGFB1,THBD,TM9SF2,TMPO,TMSB10/TMSB4X,TPX2,TRAF1,TRIM25,UBE2L6,XPO4,YWHAH,ZFP91",129 (10),10,24hr_PROT_causal_unique,True,True
140,MAP2K1,-0.171,kinase,"EGFR,ELK1,ERK1/2,MAP2K1,MAPK1,MMP2,SP1",2,Inhibited,-4.111000000000001,1.6399999999999998e-13,0.0009,"APOBEC3G,ARRB1,AURKA,B2M,C3,CBS/CBSL,CCL4,CD44,CEBPA,CEBPB,CHI3L1,CLEC11A,COL1A1,DDX58,DNMT1,EHD1,EIF2AK2,ERAP1,ERP29,EZR,FOSL1,GBP1,HERC5,HINT1,HLA-A,HLA-B,HLA-C,HLA-E,HMOX1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IL1RN,ISG15,JUN,JUND,LAP3,LGALS3,MKI67,MMP2,MMP9,MVP,MX2,NDUFB8,NFKB1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PLAU,PML,POSTN,PPIA,PSMB3,PSMB7,PSME2,RAB4B,SLC2A1,SPRY2,SRSF1,STAT1,STAT2,TAP1,TAP2,TAPBP,TGFB1,TGM2,THBS1,TREM2,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18",81 (7),7,24hr_PROT_causal_unique,True,
141,mir-19, ,microRNA,"AHR,CREB1,EGFR,ERK1/2,ESR1,ESR2,GSK3B,Mapk,mir-19,NCOA3,NFkB (complex),Pkc(s),PRKCD,RHOA,SRC,STAT3,TERT,TP63",3,Activated,2.905,1.7100000000000003e-13,0.0398,"ABCB1,AHNAK,ANO10,APOC3,ARHGDIB,ARPC5L,ARRB1,ASS1,ATG9A,ATP6AP2,AURKA,B2M,BAX,BCAS3,BID,C3,CAST,CCL4,CD44,CD82,CDK1,CDK6,CEBPA,CHI3L1,CLEC11A,COL1A1,COL1A2,CP,CPT1A,CPT2,CSTA,CTSD,CTSS,DDX58,DNAJC21,DNMT1,DR1,ENG,ENY2,ERAP1,EZR,FABP5,FBLN1,FN1,FOSL1,FUBP1,GBP1,GDF15,GPNMB,GSTP1,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-F,HMOX1,HNRNPD,IFI16,IFI44L,IGF2,IGFBP2,IGFBP3,IGFBP7,IL1RN,INIP,JUND,KAT2B,KDSR,KHSRP,KRT10,KYNU,LGALS1,MAD1L1,MKI67,MMP2,MMP9,MSMO1,MTA1,MYO9B,NAMPT,NDRG1,NFATC2,NFKB1,NFKB2,NPM1,NT5E,OAS1,PDCD4,PDLIM7,PGLS,PLIN2,PNPT1,POSTN,PPIA,PRPF4,PSEN1,PSIP1,PSMB3,PSMB7,PTPN2,PXN,RAB13,RAB4B,RCC1,RELA,RHOC,RSAD2,S100A4,S100A8,SAMD9,SAR1A,SFPQ,SLC2A1,SLC7A11,SOD1,SRSF1,STAT1,TACC1,TAP1,TAP2,TAPBP,TDO2,THBS1,TKT,TPM1,TRAF1,UBE2I,VIM",129 (18),18,24hr_PROT_causal_unique,True,
142,PTPRZ1, ,phosphatase,"ERK1/2,MAP2K1/2,MAPK1,MET,PTEN,PTPRZ1,SRC",2,Activated,3.2039999999999997,1.7199999999999997e-13,0.0003,"ARF4,ARRB1,AURKA,B2M,BAX,C3,CCL4,CD44,CEBPA,CEBPB,CHI3L1,CLEC11A,DDX58,EHD1,EIF2AK2,ERAP1,ERP29,EZR,FOSL1,H2AX,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HMOX1,HSPB1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,JUN,JUND,LAP3,MKI67,MMP2,MMP9,MVP,MX2,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PLAU,PML,PREX1,PSME2,PTPN1,PXN,RAB4B,SLC2A1,SPRY2,SRC,STAT1,STAT2,TAP1,TAP2,TAPBP,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM",71 (7),6,24hr_PROT_causal_unique,True,
143,SPRY2,0.762,other,"Akt,ERK,ERK1/2,HIF1A,MAPK1,PTEN,SPRY2",2,Activated,3.838,1.73e-13,0.0016,"ABCB1,APOBEC3G,APOE,ARF4,ARRB1,AURKA,B2M,BAX,C3,CARS1,CD36,CD44,CEBPA,CLEC11A,COL1A1,DDX58,EHD1,EIF4E,ERAP1,ERP29,EZR,FHL1,GBP1,GDF15,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HSPB1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IRF5,ISG15,ITGB5,JUND,LAP3,MAP4K4,MBD2,MIF,MKI67,MVP,MX2,NDRG1,NDUFB8,NPM1,NUCKS1,NUDCD2,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PEA15,PLG,PML,POSTN,PREX1,PSME2,PTPN1,PXN,RAB4B,RELA,SLC2A1,SRC,SRSF2,STAT1,STAT2,TAP1,TAP2,TAPBP,TFRC,TGFB1,TGM2,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,WTAP",88 (7),7,24hr_PROT_causal_unique,True,
144,CSF2, ,cytokine,"Akt,AKT1,AKT2,CREB1,CSF2,ERK,ERK1/2,HCK,JAK2,Jnk,MAPK1,PI3K (complex),RARA,RPS6KB1,STAT3,STAT5a/b,TERT",2,Inhibited,-3.13,2.1899999999999998e-13,0.0289,"ANO10,APOBEC3G,ARPC5L,ARRB1,ATP6AP2,AURKA,B2M,BAX,C3,CCL4,CD36,CD44,CDC123,CDK1,CDKN2C,CEBPA,CHI3L1,CLEC11A,COL1A1,CP,CTSC,CTSS,DDX58,DHCR24,DNAJC21,DNMT1,EHD1,EIF2AK2,ENY2,ERAP1,ERP29,EZR,FN1,FOSL1,GBP1,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HMOX1,HNRNPD,IDI1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,INIP,IRF5,ISG15,ITGAX,JUND,KAT2B,LAP3,LASP1,LGALS1,MAP4K4,MKI67,MMP2,MMP9,MVP,MX2,NACA,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB2,NPM1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PEA15,PGLS,PLG,PML,POSTN,PSEN1,PSIP1,PSME2,PTPN2,RAB4B,RBM3,RFTN1,RSAD2,SAMD9,SET,SF1,SFPQ,SLC1A5,SLC2A1,SLC7A11,SPRY2,STAT2,STIP1,TAP1,TAP2,TAPBP,TGFB1,TGM2,THBS1,TPM4,TRIM21,TRIM25,UBE2I,UBE2L6,UPP1,UTP18,VIM,WTAP",118 (17),17,24hr_PROT_causal_unique,True,
146,Metalloprotease, ,group,"ERK1/2,MAPK1,Metalloprotease",2,Inhibited,-4.817,2.85e-13,0.0001,"ARRB1,AURKA,B2M,C3,CCL4,CD44,CEBPA,CEBPB,CLEC11A,DDX58,EHD1,EIF2AK2,ERAP1,ERP29,EZR,FN1,GBP1,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,JUN,JUND,LAP3,MKI67,MMP2,MVP,MX2,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PML,PSME2,RAB4B,SPRY2,STAT1,STAT2,TAP1,TAP2,TAPBP,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM",59 (3),2,24hr_PROT_causal_unique,True,
147,IL2RG, ,transmembrane receptor,"Akt,AKT1,ERK1/2,EZH2,IL2RG,JAK1,JAK3,Mapk,MAPK1,RAC1,RELA,RHOA,STAT1,STAT3,STAT5a/b,TP63",3,Activated,4.165,2.94e-13,0.0328,"APOBEC3G,APOC3,ARHGDIB,ARRB1,ATG9A,ATP6AP2,AURKA,B2M,C4A/C4B,CAST,CCL4,CD14,CD44,CDKN2C,CEBPA,CHI3L1,CLEC11A,COL1A1,CPT2,CSTA,CTSS,DDX58,DDX60,DNMT1,DOCK8,EHD1,EIF2AK2,ENG,ERP29,EZR,FOSL1,FUBP1,GBP1,GBP2,GBP4,GDF15,GPNMB,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMOX1,IDI1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,IGFBP7,IRF2BP2,ISG15,JUN,JUND,KAT2B,KHSRP,KRT10,LAP3,MKI67,MMP2,MVP,MX1,MX2,NAMPT,NCOA7,NDRG1,NDUFB8,NFATC2,NFKB2,NPM1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PEA15,PLAU,PLG,PML,PNPT1,POSTN,PRPF4,PSIP1,PSME2,PTPN2,PXN,RAB4B,RCC1,RFTN1,RGS1,RHOC,RUNX1,S100A4,S100A8,SLC2A1,SOD1,SPRY2,STAT2,STIP1,TAP1,TAP2,TAPBP,TGM2,THBS1,TMSB10/TMSB4X,TPM1,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,WTAP,ZFP91",122 (16),14,24hr_PROT_causal_unique,True,
148,CD22, ,transmembrane receptor,"CD22,EGFR,ERK1/2,LYN,MAPK1,MAPK8,NFkB (complex),PLCG2,RAC1,STAT1",3,Inhibited,-4.69,3.3e-13,0.002,"ABCB1,APOBEC3G,ARRB1,AURKA,B2M,C3,C4A/C4B,CCL4,CD14,CD44,CEBPA,CHI3L1,CLEC11A,CTSS,DDX58,DDX60,EHD1,EIF2AK2,ERAP1,ERP29,EZR,FABP5,FOSL1,GBP1,GBP2,GBP4,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMOX1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,ISG15,JUN,JUND,KYNU,LAP3,MKI67,MMP2,MTA1,MVP,MX2,NAMPT,NDUFB8,NFKB1,NFKB2,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PLAU,PML,POSTN,PPIA,PSMB3,PSMB7,PSME2,PXN,RAB4B,RELA,SAR1A,SLC7A11,SPRY2,SRSF1,STAT1,STAT2,TAP2,TAPBP,TDO2,TGFB1,TGM2,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18",88 (10),7,24hr_PROT_causal_unique,True,
152,DUSP1, ,phosphatase,"DUSP1,ERK,HIF1A,JINK1/2,Jnk,MAPK1,MAPK14,P38 MAPK,PARP1",2,Activated,2.0140000000000002,4.96e-13,0.0051,"ABCB1,APOBEC3G,APOE,AURKA,BAX,CARS1,CCL4,CD36,CD44,CD55,CD82,CEBPB,COL1A1,DAB2,DDX58,EFEMP1,EHD1,EIF2AK2,EIF4E,ERAP1,ERP29,FHL1,FOSL1,GDF15,GOLGA2,HERC5,HK2,HLA-B,HLA-C,HLA-E,HMOX1,HSPB1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IRF5,ISG15,ITGB5,JUN,JUND,LAP3,LUM,MAP4K4,MBD2,MIF,MKI67,MMP2,MVP,MX2,NDRG1,NFKB1,NPM1,NRP1,NUCKS1,NUDCD2,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PFDN1,PLG,PML,POSTN,PSME2,RELA,SLC2A1,SPRY2,SRSF2,STAT2,TAP1,TFRC,TGFB1,TGM2,THBD,THBS1,TMOD3,TRADD,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM",89 (9),9,24hr_PROT_causal_unique,True,
154,CD24, ,other,"Akt,CCND1,CD24,CREB1,EGFR,ELK1,ERK,ERK1/2,LYN,Mapk,MAPK8,NFkB (complex),RAC1,RB1,RXRA,STAT1,STAT5a/b",3,Activated,2.502,5.379999999999999e-13,0.0237,"ABCB1,ACTB,AHNAK,APOBEC3G,APOC3,ARRB1,ATP13A3,AURKA,B2M,BCLAF1,C11orf58,C3,C4A/C4B,CCL4,CD14,CD44,CDK6,CDKN2C,CEBPA,CHI3L1,CLEC11A,COL1A1,CTSS,DDX60,DNMT1,DR1,EDEM3,EEF1B2,EIF2AK2,ERAP1,EZR,FABP5,FN1,FOSL1,FRYL,G3BP1,GBP1,GBP2,GBP4,GDF15,HERC5,HK2,HLA-A,HLA-E,HLA-F,HMOX1,HSPB1,IDI1,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,ISG15,ITIH2,JUN,JUND,KRT10,KYNU,LASP1,LRPPRC,MAP4K4,MARCKS,MKI67,MMP2,MTA1,NAMPT,NDRG1,NDUFB8,NFKB1,NFKB2,OAS1,PEA15,PLAU,PLG,POSTN,PPIA,PSEN1,PSMB3,PSMB7,PXN,RAB4B,RBBP6,RBL2,RELA,RFTN1,RMDN3,RPL13,RPL27A,SAR1A,SEC61B,SFPQ,SLC7A11,SOD1,SRSF1,STAT1,STIP1,TALDO1,TAP2,TAPBP,TDO2,TGM2,THBS1,TPI1,TRIM21,VIM,WTAP",108 (17),16,24hr_PROT_causal_unique,True,
155,F2,1.027,peptidase,"BTK,ERK1/2,F2,F2R,GSK3A,Hsp27,HSPB1,JAK2,JINK1/2,MAPK1,MAPK14,MAPK8,NFkB (complex),P38 MAPK,PRKAA1,RAC1,RHOA,SRC (family),TSC22D3",2,Inhibited,-4.874,5.53e-13,0.0067,"ABCB1,ARRB1,AURKA,B2M,BAG1,BAX,CD14,CD36,CD44,CD55,CD82,CDK1,CEBPA,CLEC11A,CSF1R,DAB2,DDX58,EFEMP1,EHD1,EIF2AK2,ERAP1,ERP29,EZR,FABP5,FGFR1OP2,FN1,GDF15,GOLGA2,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMOX1,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IL4I1,ISG15,ITGAX,ITGB5,JUN,JUND,KYNU,LAP3,LILRB4,MIF,MKI67,MMP9,MTA1,MVP,MX1,MX2,NAMPT,NFKB2,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PLAU,PLG,PML,PSME2,RAB4B,RBL2,RELA,RHOC,S100A4,SAR1A,SET,SPRY2,STAT2,TAP1,TAP2,TAPBP,TDO2,TGFB1,TGM2,TRADD,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18",93 (19),19,24hr_PROT_causal_unique,True,
157,FCAR, ,transmembrane receptor,"ERK,FCAR,Mapk,MAPK1",2,Activated,3.207,5.99e-13,0.0002,"APOBEC3G,APOC3,AURKA,CCL4,COL1A1,DDX58,EHD1,EIF2AK2,ERAP1,ERP29,FN1,FOSL1,GBP1,GDF15,HERC5,HLA-B,HLA-C,HLA-E,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,JUN,LAP3,MAP4K4,MKI67,MMP2,MMP9,MVP,MX2,NDRG1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PML,POSTN,PSME2,SOD1,SPRY2,STAT2,TAP1,TGM2,THBS1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM",56 (4),3,24hr_PROT_causal_unique,True,
159,SMARCB1,-0.622,transcription regulator,"Akt,ATM,BRCA1,CHEK1,ESR1,FOXO1,GSK3B,H2AX,HSF1,JAK1,JAK2,MAPK9,NR3C1,PGR,PRKAA,RHOA,RHOC,SMARCB1,STAT3,Tgf beta,TSC2,YAP1",3,Activated,4.01,7.390000000000001e-13,0.0121,"ABCB1,ACSL1,AHNAK,ANO10,ARPC5L,ASS1,ATP6AP2,AURKA,BAG3,BAX,BCAS3,CBX3,CD36,CD44,CD82,CDK6,CDKN2C,CHI3L1,COL1A1,COL1A2,CP,CPT2,CTSD,CTSS,DDX58,DDX60,DNAJC21,DOCK8,DPYSL2,DR1,DUSP3,DYNLL1,EFEMP1,EHD1,EIF2AK2,EIF4E,ENY2,FBLN1,GDF15,GLUL,GOT1,H2AX,HLA-B,HLA-C,HLA-F,HNRNPD,HSPB1,HSPE1,HYOU1,IFI35,IFIT1,IFIT2,IFIT3,INIP,ITGB5,KAT2B,LGALS1,LMNA,LPL,LSM3,MBOAT7,METAP2,METTL3,MRPL18,MX1,MX2,NAMPT,NASP,NCOR1,NDUFB8,NFATC2,NFKB2,NPM1,NUP210,OAS1,OAS2,OAS3,OASL,PARP14,PDCD4,PDIA3,PDLIM1,PEA15,PGLS,PIN1,PLAU,PLG,PLIN2,PSIP1,PTPN2,RAB5C,RANBP1,RELA,RHOC,RSAD2,S100A8,SAMD9,SERPINB9,SERPINH1,SET,SFPQ,SLC2A1,SLC7A11,SMC1A,SPRY2,SSBP1,ST13,STAT6,STIP1,TACC1,TGM2,TK1,UBE2I,VIM,WTAP",115 (22),22,24hr_PROT_causal_unique,True,
160,IGFBP3,-0.772,other,"EGFR,ERK1/2,IGF1R,IGFBP3,MAPK1,P38 MAPK,PI3K (complex),RELA,SMAD3",2,Activated,3.198,7.650000000000001e-13,0.0042,"APOC3,ARHGDIB,ARRB1,ATP6AP2,AURKA,B2M,C3,CD36,CD44,CD55,CD82,CEBPA,CHI3L1,CLEC11A,COL1A2,CTSD,DDX58,DNMT1,DOCK8,EHD1,EIF2AK2,ERP29,EZR,GBP1,GOLGA2,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HMOX1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IRF2BP2,ISG15,JUN,JUND,LAP3,LASP1,MIF,MKI67,MMP2,MVP,MX2,NAMPT,NDUFB8,NFATC2,NFKB1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PLAU,PML,POSTN,PPIA,PSMB3,PSMB7,PSME2,PXN,RAB4B,RGS1,SLC7A11,SPRY2,SRSF1,STAT1,STAT2,TAP2,TAPBP,TMSB10/TMSB4X,TRADD,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,ZFP91,ZYX",88 (9),9,24hr_PROT_causal_unique,True,
164,NOTCH1,0.170,transcription regulator,"Akt,EGFR,ERK1/2,IGF1R,MAPK1,MTOR,NOTCH1,PRKAA,RPS6KB1,RUNX2",2,Inhibited,-3.145,9.88e-13,0.0028,"ARRB1,AURKA,B2M,BAX,C3,CASP1,CCL4,CD44,CEBPA,CEBPB,CHI3L1,CLEC11A,CTSD,DDX58,DHCR24,EHD1,EIF2AK2,ERAP1,ERP29,EZR,FN1,FOSL1,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HMOX1,HYOU1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,ISG15,JUN,LAP3,LUM,MKI67,MMP2,MMP9,MVP,MX2,NDUFB8,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PEA15,PIN1,PLAU,PML,POSTN,PPIA,PSMB3,PSMB7,PSME2,RAB4B,RUNX1,SLC7A11,SPRY2,SRC,SRSF1,STAT1,STAT2,TAP1,TAP2,TAPBP,TGFB1,TGM2,TPM1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,WTAP",85 (10),10,24hr_PROT_causal_unique,True,
166,ARHGEF12, ,other,"ARHGEF12,EGFR,F2R,MAPK1,RHOA",2,Activated,3.255,1.28e-12,0.0002,"AURKA,CEBPB,CHI3L1,DDX58,EHD1,EIF2AK2,ERAP1,ERP29,FN1,GDF15,HERC5,HK2,HLA-B,HLA-C,HLA-E,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,ISG15,JUN,LAP3,MKI67,MVP,MX2,NDUFB8,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PLAU,PML,POSTN,PPIA,PSMB3,PSMB7,PSME2,RELA,RHOC,S100A4,SLC7A11,SPRY2,SRSF1,STAT1,STAT2,TAP1,TGM2,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM",59 (5),4,24hr_PROT_causal_unique,True,
167,FGF5, ,growth factor,"FGF5,FGFR1,MAPK1",2,Inhibited,-4.919,1.33e-12,0.0001,"AURKA,BAX,DDX58,EHD1,EIF2AK2,ERAP1,ERP29,FN1,GBP1,HERC5,HK2,HLA-B,HLA-C,HLA-E,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,LAP3,MKI67,MVP,MX2,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PML,POU2F2,PSME2,SPRY2,STAT1,STAT2,TAP1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM",45 (3),2,24hr_PROT_causal_unique,True,
168,FRY, ,other,"ERK1/2,FRY,MTORC2,MYC,NUAK1,P38 MAPK,RELA,STK38,STK38L,XPO1,YAP1",3,Inhibited,-2.804,1.33e-12,0.0052,"ABCC1,ALCAM,ARHGDIB,ARRB1,ATP6AP2,B2M,BAG1,BAX,BCOR,BZW2,C3,CCL4,CD36,CD44,CD55,CD82,CDK6,CEBPA,CLEC11A,COL1A1,COX5A,COX6B1,DNMT1,DOCK8,EHD1,EIF4E,ERAP1,EZR,GBP1,GOLGA2,GTF2B,H2AX,HK2,HLA-A,HMOX1,HSPB1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IPO7,IRF2BP2,ISG15,JUND,MIF,MMP2,MMP9,MX1,MX2,NAMPT,NDUFS4,NFATC2,NFKB1,NPM1,OAS1,OASL,PDCD4,PLAU,POLDIP3,POLR2D,PXN,RAB4B,RCC1,RGS1,RPL11,RSAD2,SERPINE2,SRSF1,SUMO1,SUMO2,SUMO3,TAP1,TAP2,TAPBP,TGFB1,TGM2,THBS1,TK1,TMSB10/TMSB4X,TRADD,TRAF1,UBE2I,ZFP91",86 (11),8,24hr_PROT_causal_unique,True,
170,AZGP1, ,transporter,"AZGP1,MAPK1",2,Activated,4.523,1.3999999999999999e-12,0.0001,"AURKA,CEBPB,DDX58,EHD1,EIF2AK2,ERAP1,ERP29,FN1,GBP1,HERC5,HK2,HLA-B,HLA-C,HLA-E,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,LAP3,MKI67,MVP,MX2,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PML,PSME2,SPRY2,STAT1,STAT2,TAP1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM",44 (2),2,24hr_PROT_causal_unique,True,
