,Master Regulator,Expr Log Ratio,Molecule Type,Participating regulators,Depth,Predicted Activation,Notes,Activation z-score,p-value of overlap,Network bias-corrected p-value,Target Molecules in Dataset,Causal network,Target-connected regulators,sample,sig,overlap_upstreamreg
66,IL25, ,cytokine,"AR,ATF6,CEBPA,CEBPB,Creb,EGFR,estrogen receptor,FOXO1,HIF1A,Hsp27,IKBKB,IL25,Jnk,MET,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,RELA,RPS6KB1,SHC1,SP1,TP53,TP63",3,Inhibited,biased,-3.825,2.03e-07,0.0349,"ACO1,AK1,AKR1B1,AKT1,AKT2,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,EIF4E,FABP4,FABP5,FBXO22,FHL1,FKBP4,FLI1,FN1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,MAPK7,NAMPT,NFKB1,NME1,NUDCD2,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN6,PTPRE,PYCARD,RAN,RSAD2,S100A9,SAR1A,SERPINB1,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,XPO1",70 (27),27,1hr_PROT_causal,True,
67,PTPN2,-0.877,phosphatase,"ABL1,Akt,AKT1,CAV1,CTNNB1,EGFR,FOS,HDAC6,HIF1A,ITGB4,JAK1,MAP2K1/2,Mapk,MMP9,NFkB (complex),P38 MAPK,PARP1,PGR,POU5F1,PTPN2,RELA,SHC1,SP1,STAT1,STAT3,TP53,TP63",3,Activated,biased,2.109,2.12e-07,0.0343,"AK1,AKT1,ATG9A,BAG1,BID,BIRC6,CAST,CDK6,CSTA,EIF4E,FABP4,FABP5,FBXO22,FHL1,FLI1,FN1,FSCN1,GCLM,GPNMB,GPX4,GSTM3,GSTP1,HINT1,ICAM1,IFIT2,IL1B,IREB2,JAK1,JUN,KYNU,MYD88,NAMPT,NAT1,NFKB1,NME1,NUDCD2,PDLIM1,PEA15,PLAU,PPIA,PPP4C,PRKAR1A,PSMB3,PSMB7,PTPN11,PTPN6,PTPRE,PYCARD,RIPK2,S100A4,SAR1A,SERPINB8,SERPINE2,SOD1,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,VIM,XPO1",65 (27),26,1hr_PROT_causal,True,
68,TNFRSF1A, ,transmembrane receptor,"AR,ATF6,CASP8,CEBPA,CEBPB,EGFR,ERK1/2,estrogen receptor,FOXO1,HIF1A,Hsp27,Jnk,MET,MMP9,MTOR,NFkB (complex),NFKB1,NFKB2,NR3C1,P38 MAPK,PGR,PPARGC1A,RELA,RPS6KB1,SHC1,SP1,TNFRSF1A,TP53,TP63",3,Inhibited,biased,-4.154,2.25e-07,0.0391,"ACO1,AK1,AKR1B1,AKT1,AKT2,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,EIF4E,FABP4,FABP5,FBXO22,FHL1,FKBP4,FLI1,FN1,FSCN1,GBA,GCLM,GDI1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,MAPK7,NAMPT,NFKB1,NME1,NUDCD2,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN6,PTPRE,PYCARD,RAN,RSAD2,S100A9,SAR1A,SERPINB1,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,XPO1",71 (29),27,1hr_PROT_causal,True,
69,LAIR1,-1.118,transmembrane receptor,"ATF6,CCND1,CCNE1,CDK2,CEBPB,Creb,EGFR,ERK,ERK1/2,HSF1,Hsp27,JUN,LAIR1,MAPK14,MAPK9,MET,MMP9,MTOR,NFAT (complex),NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,PRKCD,RELA,RUNX2,RXRA,SP1,STAT3,TP63,YAP1,ZAP70",3,Activated,biased,2.945,2.25e-07,0.0213,"AIF1,AKT1,AKT2,ATAD2,ATG9A,CAST,CBR1,CSTA,DAB2,DR1,EHD1,EIF4E,ENO1,ERBIN,FABP4,FABP5,FBLN1,FKBP4,FN1,FSCN1,GBA,GPNMB,GSTM3,HINT1,ICAM1,IL1B,JUN,KYNU,LSM2,MAPK7,MARCKS,NAMPT,NFKB1,NIBAN2,PDLIM1,PDLIM7,PLAU,PPIA,PRKAR1A,PRMT1,PSMB3,PSMB7,PTPN2,PTPN6,PTPRE,RAN,RSAD2,SAR1A,SCD,SERPINB8,SERPINB9,SERPINE2,SF3B4,SOD1,SREBF2,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1",61 (33),32,1hr_PROT_causal,True,
71,BMX, ,kinase,"AR,ATF6,BMX,CEBPA,CEBPB,Creb,EGFR,estrogen receptor,FOXO1,HIF1A,Hsp27,IKBKB,Jnk,MET,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,RELA,RPS6KB1,SHC1,SP1,TP53,TP63",3,Inhibited,biased,-4.064,2.47e-07,0.0378,"ACO1,AK1,AKR1B1,AKT1,AKT2,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,EIF4E,FABP4,FABP5,FBXO22,FHL1,FKBP4,FLI1,FN1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,MAPK7,NAMPT,NFKB1,NME1,NUDCD2,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN6,PTPRE,PYCARD,RAN,RSAD2,S100A9,SAR1A,SERPINB1,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,XPO1",70 (27),26,1hr_PROT_causal,True,
72,Fcer1, ,complex,"AR,ATF6,CCAR2,CEBPA,CEBPB,EGFR,ERBB2,ERK1/2,ESR1,estrogen receptor,Fcer1,HIF1A,HMGA1,Hsp27,Jnk,LAT,Mapk,MAPK1,MED1,MMP9,MYC,NFkB (complex),NR3C1,P38 MAPK,PDGFRA,PGR,PI3K (family),PLCG1,PPARGC1A,PRKCZ,SHC1,SP1,SRC (family),SREBF1,STAT3,SYK,TP63",3,Inhibited,biased,-3.938,2.47e-07,0.0411,"AKR1B1,AKT2,ANO10,ARF4,ARPC5L,ATG9A,BAG1,CAP2,CBR1,CLGN,CNN3,COL6A3,CP,CSTA,DAB2,DHCR7,DR1,EIF4E,ENO1,FABP4,FABP5,FCER1G,FHL1,FKBP4,FLI1,GBA,GCLM,GDI1,GLO1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IFIT2,IL1B,IQGAP2,IRF8,JUN,KYNU,MAPK7,MVD,MYD88,NAMPT,NFKB1,NMI,NUDCD2,PARP12,PDLIM1,PLAU,PPIA,PPP3CB,PREP,PRKAR1A,PRMT1,PSAT1,PSMB3,PSMB7,PTPN2,PTPRE,RAN,S100A9,SAE1,SAMD9,SAR1A,SCD,SERPINB1,SERPINB8,SERPINB9,SERPINE2,SHMT1,SOD1,SUMO2,SUMO3,TGM2,TNFAIP3,TRADD,TXN,UBE2L6",79 (37),34,1hr_PROT_causal,True,
73,TNRC6A, ,other,"Akt,AKT1,ATF6,ATM,CEBPB,CHEK2,Creb,EGFR,FOXO3,GLI1,H2AX,Hsp27,Jnk,MAP2K1,MAPK9,Mek,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,SP1,TNRC6A,TP53,TP63,TP73,YAP1",3,Inhibited, ,-3.8110000000000004,2.61e-07,0.0384,"ACO1,ADH5,ADK,AK1,AKT1,ATAD2,ATG9A,BID,CAST,CBR1,CNTRL,CSTA,EFHD2,EHD1,EIF4E,ELOB,FABP4,FABP5,FBXO22,FHL1,FN1,FSCN1,GBA,GCLM,GPNMB,GSTM3,HINT1,ICAM1,IQGAP2,IREB2,JUN,KYNU,MAPK7,MSI2,NAMPT,NFKB1,NME1,NPEPL1,NRGN,OGFRL1,PDLIM1,PEA15,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,RAN,RBM8A,RSAD2,S100A4,S100A9,SAR1A,SCD,SERPINB8,SERPINB9,SERPINE2,SF3B4,SOD1,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TPM1,TRADD,TRAF1,TREM2,XPO1",75 (29),27,1hr_PROT_causal,True,
77,CHUK, ,kinase,"Akt,CEBPA,CHUK,EGFR,ESR1,estrogen receptor,FOXO3,HIF1A,HSF1,IKBKB,MAPK1,MTOR,MYC,NFkB (complex),NOTCH1,RELA,RUNX2,SIRT1,TP53",3,Inhibited,biased,-3.054,3.06e-07,0.0264,"ACO1,AK1,AKR1B1,AKT1,AKT2,ANO10,ARPC5L,ATAD2,BAG1,BID,CP,DR1,EHD1,EIF4E,ENO1,FABP4,FABP5,FBLN1,FBXO22,FHL1,FKBP4,FSCN1,ICAM1,IFIT2,IL1B,IQGAP2,IREB2,KYNU,LSM2,MYD88,NAMPT,NFKB1,NME1,NMI,NUDCD2,PARP12,PEA15,PLAU,PPIA,PPP4C,PREP,PRKAR1A,PSMB3,PSMB7,PSMB9,PTPN11,PTPN6,PYCARD,RSAD2,S100A4,S100A9,SAE1,SAMD9,SAR1A,SERPINB1,SERPINE2,SOD1,SREBF2,SUMO2,SUMO3,TAGLN2,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRAF1,UBE2L6",67 (19),18,1hr_PROT_causal,True,
78,mir-30, ,microRNA,"Akt,AKT1,ATF6,ATM,CEBPB,CHEK2,Creb,EGFR,FOXO3,GLI1,H2AX,Hsp27,Jnk,MAP2K1,MAPK9,Mek,mir-30,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,SP1,TP53,TP63,TP73,YAP1",3,Activated, ,3.8110000000000004,3.08e-07,0.0407,"ACO1,ADH5,ADK,AK1,AKT1,ATAD2,ATG9A,BID,CAST,CBR1,CNTRL,CSTA,EFHD2,EHD1,EIF4E,ELOB,FABP4,FABP5,FBXO22,FHL1,FN1,FSCN1,GBA,GCLM,GPNMB,GSTM3,HINT1,ICAM1,IQGAP2,IREB2,JUN,KYNU,MAPK7,MSI2,NAMPT,NFKB1,NME1,NPEPL1,NRGN,OGFRL1,PDLIM1,PEA15,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,RAN,RBM8A,RSAD2,S100A4,S100A9,SAR1A,SCD,SERPINB8,SERPINB9,SERPINE2,SF3B4,SOD1,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TPM1,TRADD,TRAF1,TREM2,XPO1",75 (29),27,1hr_PROT_causal,True,
79,CSF, ,group,CSF,1,Inhibited,biased,-3.162,3.11e-07,0.0001,"CSTA,CSTB,IL1B,NFKB1,PTPN2,SERPINB8,SERPINB9,TGM2,TNFAIP3,TRAF1",10 (1),1,1hr_PROT_causal,True,True
80,ERK, ,group,"ADAM17,Akt,AKT1,Ap1,CCND1,CCNE1,CDK2,CDK4,CDKN2A,CEBPA,CEBPB,Creb,DUSP1,EGFR,ERK,ERK1/2,FOXM1,FOXO1,GSK3B,IRF3,MAPK14,MED1,MYC,NFkB (complex),NOS2,Notch,NRF1,PDGFRA,PGR,PHB2,PPARG,RELA,RUNX2,RXRA,SHC1,SMARCA4,STAT3,TP63",3,Inhibited,biased,-4.7139999999999995,3.13e-07,0.0451,"ABRACL,AKR1B1,AKT1,AKT2,ATG9A,BAG1,CAST,CDK6,CDKN2C,CFP,CLDND1,CP,CSTA,DAB2,DR1,ENO1,ERBIN,FABP4,FABP5,FLI1,FSCN1,GCLM,GPNMB,GSTM3,GSTO1,GSTP1,ICAM1,IL1B,IQGAP2,IRF8,JUN,KIF20A,KYNU,LPXN,MARCKS,MTRES1,MYD88,NAMPT,NFKB1,NIBAN2,PDLIM1,PEA15,PLAU,PPIA,PPP3CB,PREP,PRKAR1A,PRMT1,PSMB3,PSMB7,PTPN2,PTPRE,RSAD2,S100A4,S100A8,S100A9,SAE1,SAR1A,SERPINB1,SERPINB8,SPC25,SUMO2,SUMO3,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRAF1,TXN,VIM,XPO1",72 (38),33,1hr_PROT_causal,True,
81,PIK3C3,-0.323,kinase,"Akt,AKT1,EGFR,ERBB3,HDAC6,HIF1A,ITGB4,JUN,MAP2K1/2,Mapk,MAPK1,MMP9,NFkB (complex),P38 MAPK,PARP1,PGR,PIK3C3,PLD1,RPS6KB1,SHC1,SP1,STAT3",3,Activated,biased,3.571,3.41e-07,0.0094,"ACO1,AKT1,CDKN2C,EHD1,EIF4E,FABP4,FABP5,FHL1,FLI1,FSCN1,GCLM,GPX4,GSTM3,GSTP1,HINT1,ICAM1,IFIT2,JAK1,JUN,KYNU,MYD88,NAMPT,NAT1,NFKB1,NMI,NUDCD2,PARP12,PDLIM1,PEA15,PLAU,PPIA,PRKAR1A,PSMB3,PSMB7,PTPN2,PTPRE,RSAD2,S100A8,SAR1A,SERPINB8,SERPINE2,SOD1,SREBF2,TGM2,TNFAIP3,TRADD,TXN,UBE2L6,VIM",49 (22),20,1hr_PROT_causal,True,
82,ARRB1,-0.381,transcription regulator,"26s Proteasome,AKT1,AR,ARRB1,ATF6,CCND1,CCNE1,CEBPA,CEBPB,CHEK2,EGFR,ERBB2,ERBB3,ERK,ERK1/2,ESR1,HDAC6,HIF1A,IGF1R,ITGB4,Jnk,LIN28A,MAP2K1,MAP2K1/2,MAP2K2,MAPK1,MAPK14,MED1,Mek,MYC,NR3C1,PARP1,PGR,Pka,PTEN,PTK2,RELA,SP1,TGFB1,TP73",3,Inhibited, ,-2.121,3.7799999999999997e-07,0.0285,"ACO1,ADH5,AKR1B1,AKT1,AKT2,ARF4,ATP6V1D,BAG1,CAST,CBR1,CDKN2C,CLGN,DAB2,DHCR7,EHD1,ELOB,ENO1,ERBIN,FHL1,FKBP4,FN1,GCLM,GDI1,GLO1,GPX4,GSTM3,HINT1,HNRNPF,ICAM1,IFIT2,IL1B,IQGAP2,IRF8,JAK1,JUN,MAPK7,MARCKS,MYD88,NAMPT,NAT1,NIBAN2,NMI,NRGN,NUDCD2,PARP12,PDLIM1,PLAU,PPIA,PPP3CB,PREP,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPRE,RAN,S100A9,SAE1,SCD,SERPINB1,SERPINB8,SERPINB9,SHMT1,SUMO2,SUMO3,TGM2,TMSB10/TMSB4X,TRAF1,TREM2,UBE2L6,VIM",72 (40),37,1hr_PROT_causal,True,
84,MTOR,-0.220,kinase,"AKT1,ERK1/2,ESR1,FOXO3,HSF1,MTOR,MYC,NFkB (complex),SIRT1,TP53",2,Inhibited, ,-3.3280000000000003,3.89e-07,0.009,"ACO1,AK1,AKT1,ANO10,ARPC5L,ATAD2,BAG1,BID,CP,DR1,EIF4E,ENO1,FABP4,FABP5,FBLN1,FBXO22,FKBP4,GCLM,IFIT2,IL1B,IQGAP2,IREB2,JUN,KYNU,LSM2,MYD88,NAMPT,NFKB1,NME1,PPP4C,PREP,PSMB9,PTPN11,PTPN6,PTPRE,PYCARD,RSAD2,S100A4,SAE1,SAMD9,SAR1A,SERPINE2,SOD1,SREBF2,SUMO2,SUMO3,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TRAF1,VIM",52 (10),10,1hr_PROT_causal,True,
85,GRK5, ,kinase,"26s Proteasome,Akt,AKT1,CEBPA,EGFR,ERBB3,ERK1/2,F2R,FOXO3,GLI1,GRK5,HDAC6,HIF1A,ITGB4,MAP2K1,MAP2K1/2,Mapk,MAPK1,MAPK9,MED1,Mek,MMP9,MTOR,P38 MAPK,PARP1,PGR,PTPN6,RPS6KB1,SHC1,SNCA,TP53,TP73,YAP1",3,Inhibited, ,-2.6919999999999997,4.85e-07,0.0472,"ACO1,ADK,AK1,AKR1B1,AKT1,ATAD2,ATP6V1D,BID,CDK6,CDKN2C,CNTRL,EFHD2,ELOB,FABP4,FBXO22,FHL1,FLI1,FN1,GCLM,GPX4,GSTM3,GSTP1,IFIT2,IL1B,IQGAP2,IREB2,IRF8,JAK1,MSI2,MYD88,NAT1,NME1,NMI,NPEPL1,NRGN,NUDCD2,OGFRL1,PARP12,PDLIM1,PEA15,PLAU,PPIA,PPP3CB,PPP4C,PRKAR1A,PSMB3,PSMB7,PSMB9,PTPN11,PTPN6,PYCARD,RBM8A,RSAD2,S100A4,S100A8,SCD,SERPINB1,SERPINB8,SERPINE2,SF3B4,SOD1,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TRADD,TRAF1,TREM2,TXN,UBE2L6,VIM,XPO1",73 (33),31,1hr_PROT_causal,True,
88,TRAF2,0.157,enzyme,"AR,ATF6,CEBPA,CEBPB,EGFR,estrogen receptor,FOXO1,HIF1A,Hsp27,IRF3,Jnk,Mapk,MET,MMP9,MTOR,NFkB (complex),NFKB1,NR3C1,P38 MAPK,PGR,PPARGC1A,RPS6KB1,SHC1,SP1,TICAM1,TP53,TP63,TRAF2",3,Inhibited,biased,-3.8810000000000002,5.25e-07,0.0491,"ACO1,AK1,AKR1B1,AKT1,AKT2,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,EIF4E,FABP4,FABP5,FBXO22,FHL1,FKBP4,FLI1,FN1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IFIT2,IL1B,IREB2,JUN,KYNU,MAPK7,NAMPT,NFKB1,NME1,NUDCD2,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN6,PYCARD,RAN,RSAD2,S100A9,SAR1A,SERPINB1,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TGM2,TNFAIP3,TPM1,TRADD,TXN,XPO1",68 (28),27,1hr_PROT_causal,True,
89,MAP4K2, ,kinase,"AR,ATF6,CEBPB,Creb,EGFR,ERK1/2,FOXO1,Hsp27,Jnk,JUN,MAP3K10,MAP3K11,MAP4K2,MET,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,RPS6KB1,SHC1,SP1,TP53,TP63",3,Inhibited,biased,-4.158,5.61e-07,0.0344,"ACO1,AK1,AKT1,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,FABP4,FABP5,FBXO22,FKBP4,FLI1,FN1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,MAPK7,NAMPT,NFKB1,NME1,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PTPN11,PTPN6,PTPRE,PYCARD,RAN,RSAD2,SAR1A,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,XPO1",63 (26),23,1hr_PROT_causal,True,
90,FYN, ,kinase,"Akt,AKT1,CD247,DYRK1B,EGFR,ERBB3,FYN,HDAC6,HIF1A,ITGB4,JUN,LCK,MAP2K1/2,Mapk,MAPK1,MMP9,NFkB (complex),P38 MAPK,PARP1,PGR,PTPN6,RAC1,RELA,SHC1,SP1,STAT3",3,Inhibited,biased,-3.983,6.34e-07,0.0218,"ACO1,AKT1,CDK6,CDKN2C,CP,EHD1,EIF4E,FABP4,FABP5,FCER1G,FHL1,FLI1,FSCN1,GCLM,GPX4,GSTM3,GSTP1,HINT1,ICAM1,IFIT2,IL1B,JAK1,JUN,KYNU,MYD88,NAMPT,NAT1,NFKB1,NMI,NUDCD2,PARP12,PDLIM1,PEA15,PLAU,PPIA,PRKAR1A,PSMB3,PSMB7,PTPN2,PTPRE,RSAD2,S100A8,SAR1A,SERPINB8,SERPINE2,SOD1,TGM2,TMSB10/TMSB4X,TNFAIP3,TRADD,TXN,UBE2L6,VIM",53 (26),24,1hr_PROT_causal,True,
91,TRIO, ,kinase,"AR,ATF6,CEBPB,Creb,DYRK1B,EGFR,ERK1/2,FOXO1,Hsp27,Jnk,JUN,MET,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,RAC1,RELA,RHOA,RPS6KB1,SHC1,SP1,STAT3,TP53,TP63,TRIO",3,Inhibited,biased,-4.341,6.389999999999999e-07,0.0481,"ACO1,AK1,AKT1,ATG9A,BID,CBR1,CLGN,CP,CSTA,DHCR7,DR1,FABP4,FABP5,FBXO22,FKBP4,FLI1,FN1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,MAPK7,NAMPT,NFKB1,NME1,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,RAN,RSAD2,SAR1A,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,XPO1",65 (29),28,1hr_PROT_causal,True,
92,TLR1, ,transmembrane receptor,"AKT1,AR,ATF6,CASP8,CEBPA,CEBPB,EGFR,ERK1/2,estrogen receptor,FOXO1,HIF1A,Hsp27,Jnk,Mapk,MET,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,PRKCD,RELA,RPS6KB1,SHC1,SP1,TLR1,TLR2,TP53,TP63",3,Inhibited,biased,-3.153,6.78e-07,0.0397,"ACO1,AK1,AKR1B1,AKT1,AKT2,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,EIF4E,FABP4,FABP5,FBXO22,FHL1,FKBP4,FLI1,FN1,GBA,GCLM,GDI1,GPNMB,GSTM3,GSTP1,HINT1,IL1B,IREB2,JUN,KYNU,MAPK7,NME1,NUDCD2,PDLIM1,PDLIM7,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN6,PTPRE,PYCARD,RAN,RSAD2,S100A9,SAR1A,SERPINB1,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TANK,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,XPO1",68 (31),29,1hr_PROT_causal,True,
94,MGAT3, ,enzyme,"Ap1,AR,EGFR,ELK1,ESR1,FOXO1,Gsk3,Jnk,JUN,MAP2K1/2,MAPK9,MGAT3,NFkB (complex),P38 MAPK,PGR,PRKCD,RELA,RPS6KB1,SHC1,SP1,STAT3,STAT6,TP53,YAP1",3,Activated,biased,4.25,7.990000000000001e-07,0.0395,"ACO1,AK1,AKT1,ANO10,ARPC5L,BID,CAST,CDK6,CLGN,CP,DHCR7,EHD1,EIF4E,ENO1,FABP4,FABP5,FBXO22,FKBP4,FLI1,FSCN1,GDI1,GSTM3,GSTP1,HINT1,ICAM1,IL1B,IREB2,JAK1,JUN,KYNU,NAMPT,NME1,PDLIM1,PDLIM7,PLAU,PPIA,PPP4C,PRKAR1A,PSMB3,PSMB7,PSMB9,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,S100A4,S100A8,SAMD9,SAR1A,SCD,SERPINB8,SF3B4,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TRADD,TRAF1,TXN,XPO1",64 (24),23,1hr_PROT_causal,True,
95,mir-223, ,microRNA,"Akt,AKT1,CTNNB1,EGFR,ERBB3,HDAC6,HIF1A,ITGB4,JUN,MAP2K1/2,Mapk,MAPK1,mir-223,MMP9,NFkB (complex),P38 MAPK,PARP1,PGR,SHC1,SP1,SP3,STAT3,TGFB1",3,Activated,biased,3.7089999999999996,8.170000000000001e-07,0.0203,"ACO1,AKT1,CDKN2C,COL6A3,EHD1,EIF4E,FABP4,FABP5,FHL1,FLI1,FSCN1,GCLM,GPX4,GSTM3,GSTP1,HINT1,ICAM1,IFIT2,JAK1,JUN,KYNU,MYD88,NAMPT,NAT1,NFKB1,NMI,NUDCD2,PARP12,PDLIM1,PEA15,PLAU,PPIA,PRKAR1A,PSMB3,PSMB7,PTPN2,PTPRE,RSAD2,S100A4,S100A8,SAR1A,SCD,SERPINB8,SERPINE2,SOD1,TGM2,TNFAIP3,TPM1,TRADD,TRAF1,TXN,UBE2L6,VIM",53 (23),22,1hr_PROT_causal,True,
96,mir-146, ,microRNA,"Akt,AKT1,CTNNB1,EGFR,ERBB3,HDAC6,HIF1A,ITGB4,JUN,MAP2K1/2,Mapk,MAPK1,mir-146,MMP9,NFkB (complex),P38 MAPK,PARP1,PGR,SHC1,SP1,STAT3",3,Activated,biased,3.3939999999999997,8.87e-07,0.0186,"ACO1,AKT1,CDKN2C,EHD1,EIF4E,FABP4,FABP5,FHL1,FLI1,FSCN1,GCLM,GPX4,GSTM3,GSTP1,HINT1,ICAM1,IFIT2,IL1B,JAK1,JUN,KYNU,MYD88,NAMPT,NAT1,NFKB1,NMI,NUDCD2,PARP12,PDLIM1,PEA15,PLAU,PPIA,PRKAR1A,PSMB3,PSMB7,PTPN2,PTPRE,RSAD2,S100A8,SAR1A,SERPINB8,SERPINE2,SOD1,TGM2,TNFAIP3,TRADD,TRAF1,TXN,UBE2L6,VIM",50 (21),21,1hr_PROT_causal,True,
97,HSPBP1,-0.534,other,"Akt,AKT1,CTNNB1,EGFR,ERBB3,HDAC6,HIF1A,HSPBP1,ITGB4,JUN,LIN28A,MAP2K1/2,Mapk,MAPK1,MAPK3,MMP9,NFkB (complex),P38 MAPK,PARP1,PGR,SHC1,SP1,STAT3",3,Inhibited,biased,-3.3939999999999997,1.06e-06,0.0172,"ACO1,AKT1,CDKN2C,EHD1,EIF4E,FABP4,FABP5,FHL1,FLI1,FSCN1,GCLM,GPX4,GSTM3,GSTP1,HINT1,HNRNPF,ICAM1,IFIT2,JAK1,JUN,KYNU,MYD88,NAMPT,NAT1,NFKB1,NMI,NUDCD2,PARP12,PDLIM1,PEA15,PLAU,PPIA,PRKAR1A,PSMB3,PSMB7,PTPN2,PTPRE,RSAD2,S100A8,SAR1A,SERPINB8,SERPINE2,SOD1,TGM2,TNFAIP3,TRADD,TRAF1,TXN,UBE2L6,VIM",50 (23),21,1hr_PROT_causal,True,
