© 2000-2021 QIAGEN. All rights reserved.

Master Regulator	Expr Log Ratio	Molecule Type	Participating regulators	Depth	Predicted Activation	Activation z-score	p-value of overlap	Network bias-corrected p-value	Target Molecules in Dataset	Causal network	Target-connected regulators
PTP4A3	 	phosphatase	Akt,ATF2,CDH1,CEBPA,CHEK1,CHUK,CTNNB1,EGFR,EGR1,EIF2A,ELK1,ERK,ERK1/2,EZH2,FOSL1,FOXO1,GSK3B,IRF3,Mapk,MAPK1,MAPK9,MED1,MMP12,MMP2,MTOR,MYC,NR4A1,NRF1,PDGFRA,PHB2,PTP4A3,RAPGEF1,RB1,RHOA,RHOC,RPS6KB1,SP1,SRC,SREBF2,STAT3,STAT5a/b,TFEB,TP63,YAP/TAZ,YAP1,YBX1	3	 	-1.901	2.00E-14	4.85E-02	A2M,ABCC1,ACSL1,ACTB,ALB,ALCAM,APOA4,APOC3,ARRB1,ASNS,ATG9A,ATP6AP2,AURKA,B2M,BABAM2,BAG1,BAX,BCOR,BZW2,C3,CASP1,CAST,CBS/CBSL,CCL4,CD44,CD47,CD82,CDK1,CDKN2C,CEBPA,CHI3L1,CLEC11A,CLTC,COL1A1,COX5A,CPT2,CSTA,DAB2,DHCR24,DNMT1,EDF1,EFEMP1,EIF2AK2,EIF4E,ENG,ERMP1,ERP29,EZR,FDPS,FN1,FOSL1,FUBP1,GBP1,GLA,GLUL,GNS,GPNMB,GTF2B,H1-10,H2AX,HINT1,HK2,HLA-A,HLA-B,HLA-C,HMGN2,HMOX1,HSPB1,IDI1,IFI16,IGF2,IGFBP7,IGLL1/IGLL5,IL1RN,IPO7,IRF5,IRF8,ITGB5,JUN,JUND,KAT2B,KHSRP,LAMP1,LAP3,LMNA,LPL,LSM3,LTF,MAD1L1,MAP4K4,METAP2,MKI67,MMP2,MMP9,MVP,MX1,MX2,NAMPT,NCOA7,NDRG1,NDUFB8,NFATC2,NFKB2,NPM1,NRP1,NUP188,OAS2,OAS3,OASL,PARP12,PARP14,PCK2,PDCD4,PDIA3,PEA15,PLAU,PLG,PLIN2,PML,PNPT1,POLDIP3,POLR2D,PPIA,PPP3CA,PPP3CB,PRPF4,PSAT1,PSIP1,PSMB3,PSMD3,PSME2,PSME3,PTPN2,PXN,RAB4B,RABGAP1L,RAD23A,RBL2,RCC1,RFTN1,RHOC,RPL11,S100A8,S100A9,SCPEP1,SERPINE2,SERPINF1,SLC2A1,SLC7A11,SLC9A3R1,SRSF1,SRSF2,STAT1,STAT2,STIP1,STMN1,SUMO1,SUMO2,SUMO3,TANK,TAP1,TAP2,TAPBP,THBD,TK1,TPM1,TRIM25,TXN,UBE2I,UBE2L6,UTP18,VIM,WTAP	173 (46)	46
PRDX2	-1.403	enzyme	Akt,CCND1,CDH1,CEBPA,CEBPB,CTNNB1,DUSP1,EGFR,EIF2A,ERK,ERK1/2,EZH2,FOSL1,FOXO3,GSK3B,LEF1,MAP2K1/2,Mapk,MAPK9,MED1,Mek,MMP2,MTOR,MYC,NOS2,Notch,P38 MAPK,PPARG,PRDX2,PRKAA,RAF1,RAPGEF1,RARA,RB1,RHOA,RHOC,RUNX2,RXRA,SMAD3,SP1,SRC,STAT1,STAT5a/b,YAP/TAZ	3	 	1.923	2.00E-14	3.23E-02	A2M,ABCB1,ABCC1,ACSL1,ACTB,AHNAK,ALB,ALCAM,ANO10,APOA4,APOB,APOBEC3G,APOC3,ARPC5L,ARRB1,AURKA,B2M,BAG1,BCLAF1,BCOR,BZW2,C11orf58,C4A/C4B,CASP1,CBS/CBSL,CD14,CD36,CD44,CD47,CD55,CD82,CDK1,CDKN2C,CEBPA,CEBPB,CHI3L1,CLEC11A,CLTC,COL1A1,COL1A2,COX4I1,COX5A,CP,CSF1R,CTSL,CTSS,DDX60,DNAJC21,DR1,EDF1,EEF1B2,EIF2AK2,EIF4E,ELANE,ENY2,ERMP1,EZR,FOSL1,G3BP1,GBP1,GBP2,GBP4,GDF15,GLUL,GOLGA2,GOT1,GTF2B,H1-10,H2AX,HINT1,HLA-A,HMGN2,HNRNPD,HSPB1,HYOU1,IDI1,IGLL1/IGLL5,IL1RN,INIP,IPO7,IRF8,ITGB5,ITIH2,JUND,LASP1,LGALS1,LMNA,LPL,LSM3,LTF,LUM,MAD1L1,MAP4K4,MARCKS,METAP2,MIF,MX1,NCOA7,NDRG1,NDUFB8,NRP1,PARP14,PCK2,PDCD4,PDIA3,PEA15,PGLS,PLAU,PLIN2,POLDIP3,POLR2D,POSTN,PPIA,PPP3CA,PPP3CB,PRMT1,PSAT1,PSMB3,PSMB7,RAB4B,RABGAP1L,RAD23A,RBL2,RCC1,RFTN1,RHOC,RMDN3,RPL11,RPL13,RPL27A,S100A11,S100A8,S100A9,SAMD9,SCPEP1,SEC61B,SERPINE2,SERPINF1,SFPQ,SHBG,SLC2A1,SLC9A3R1,SOD1,SRFBP1,SRSF1,SRSF2,STAT1,STIP1,SUMO1,SUMO2,SUMO3,TALDO1,TANK,TAP1,TAP2,TAPBP,TFB2M,TGFB1,TGM2,THBD,THBS1,TPI1,TPM1,TRADD,TRAF1,TREM2,VIM,WTAP,ZYX	169 (44)	42
NEU1	0.027	enzyme	Akt,AKT1,Ap1,CEBPA,EGFR,EGR1,ERBB3,ERK,ERK1/2,FOSL1,HDAC6,HIF1A,Jnk,JUN,MAP2K1/2,Mapk,MAPK1,MED1,MET,MMP2,MMP9,MTOR,NEU1,NFkB (complex),P38 MAPK,PARP1,PGR,RELA,RHOA,RPS6KB1,SHC1,SMAD3,TAB1	3	 	0.497	2.03E-14	2.26E-02	A2M,ALB,APOBEC3G,APOC3,APOE,ARHGDIB,ARRB1,B2M,C3,CARS1,CASP1,CCL4,CD36,CD44,CD55,CDK1,CDKN2C,CEBPA,CEBPB,CHI3L1,CLEC11A,CLTC,COL1A2,CPT2,DDX58,DDX60,DHCR24,DOCK8,DPYSL2,DYNLL1,EDF1,EHD1,EIF2AK2,EIF4E,ERMP1,ERP29,EZR,FABP5,FHL1,FLI1,FN1,GBP1,GBP2,GLUL,GOLGA2,GOT1,GSTP1,H1-10,HLA-A,HLA-C,HLA-E,HLA-F,HMGB2,HSPB1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGF2,IGFBP3,IGLL1/IGLL5,IL1RN,IRF2BP2,IRF5,IRF8,ITGB5,JUND,KYNU,LAP3,LTF,MAD1L1,MAP4K4,MBD2,MIF,MKI67,MMP2,MTA1,MVP,MX1,MX2,NDUFB8,NUCKS1,NUDCD2,NUP188,OAS1,OAS3,OASL,PARP12,PDLIM1,PEA15,PFDN1,PFKP,PHGDH,PLAU,PLG,PML,POSTN,PPIA,PPP3CB,PSMB3,PSMB7,PSME2,PTPN1,RAB4B,RABGAP1L,RELA,RGS1,RHOC,RSAD2,S100A4,S100A8,S100A9,SAR1A,SCPEP1,SERPINE2,SERPINF1,SLC7A11,SOD1,SPRY2,SRSF1,STAT2,STMN1,TANK,TAP1,TAP2,TAPBP,TDO2,TFRC,TGFBI,TGM2,THBD,TK1,TMOD3,TMSB10/TMSB4X,TRADD,TRIM21,TRIM25,TXN,UBE2L6,UTP18,VIM,WTAP,ZFP91,ZYX	146 (33)	32
LTB4R	 	G-protein coupled receptor	ADCY,Akt,Ap1,CCND1,CEBPB,DUSP1,ELK1,ERK,ERK1/2,GSK3B,LTB4R,NFkB (complex),NOS2,Notch,PPARG,PXN,RELA,RUNX2,RXRA,STAT1,STAT3	3	 	0.365	2.18E-14	1.42E-02	ABCB1,AHNAK,ALB,APOB,APOBEC3G,ARHGDIB,ARRB1,ATP6AP2,B2M,BAX,BCLAF1,C11orf58,C3,C4A/C4B,CCL4,CD14,CD36,CD82,CDK6,CEBPA,CHI3L1,CLEC11A,COL1A1,COL1A2,COX4I1,CTSL,CTSS,DDX60,DNMT1,DOCK8,DR1,EEF1B2,EIF2AK2,ERAP1,EZR,FABP5,FOSL1,G3BP1,GBP1,GBP2,GBP4,GDF15,HERC5,HK2,HLA-A,HLA-E,HLA-F,HSPB1,IFI16,IFI35,IFIH1,IFIT1,IFIT3,IGFBP3,IRF2BP2,IRF5,ISG15,ITIH2,JUN,JUND,KAT2B,KRT10,KYNU,LASP1,LUM,MAP4K4,MARCKS,MMP2,MMP9,MTA1,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NPM1,NRP1,PEA15,PLAU,PLIN2,POSTN,PRMT1,PSIP1,PTPN2,PXN,RAB4B,RELA,RGS1,RMDN3,RPL13,RPL27A,RUNX1,S100A11,S100A4,S100A8,SAR1A,SEC61B,SHBG,SLC2A1,SLC7A11,SRC,SRFBP1,STAT1,TALDO1,TAP2,TAPBP,TDO2,TGFB1,TGM2,THBD,THBS1,TMSB10/TMSB4X,TPI1,TPM1,TRAF1,TRIM21,VIM,WTAP,ZFP91	120 (21)	20
KMT2A	 	transcription regulator	Akt,Ap1,CCND1,CEBPB,DUSP1,ELK1,ERK,ERK1/2,GSK3B,KMT2A,NFkB (complex),NOS2,Notch,PPARG,PXN,RELA,RUNX2,RXRA,STAT1,STAT3	3	 	0.365	2.39E-14	1.62E-02	ABCB1,AHNAK,ALB,APOB,APOBEC3G,ARHGDIB,ARRB1,ATP6AP2,B2M,BAG3,BAX,BCLAF1,C11orf58,C3,C4A/C4B,CCL4,CD14,CD36,CD82,CDK6,CEBPA,CHI3L1,CLEC11A,COL1A1,COL1A2,COX4I1,CTSL,CTSS,DDX60,DNMT1,DOCK8,DR1,EEF1B2,EIF2AK2,ERAP1,EZR,FABP5,FOSL1,G3BP1,GBP1,GBP2,GBP4,GDF15,HERC5,HK2,HLA-A,HLA-E,HLA-F,HSPB1,IFI16,IFI35,IFIH1,IFIT1,IFIT3,IGFBP3,IRF2BP2,ISG15,ITIH2,JUN,JUND,KAT2B,KRT10,KYNU,LASP1,LUM,MAP4K4,MARCKS,MMP2,MMP9,MTA1,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NPM1,NRP1,PEA15,PLAU,PLIN2,POSTN,PRMT1,PSIP1,PTPN2,PXN,RAB4B,RELA,RGS1,RMDN3,RPL13,RPL27A,RUNX1,S100A11,S100A4,S100A8,SAR1A,SEC61B,SHBG,SLC2A1,SLC7A11,SRC,SRFBP1,STAT1,TALDO1,TAP2,TAPBP,TDO2,TGFB1,TGM2,THBD,THBS1,TMSB10/TMSB4X,TPI1,TPM1,TRAF1,TRIM21,VIM,WTAP,ZFP91	120 (20)	20
NCF1	1.558	enzyme	ATF1,ATM,CAMK4,CHEK1,CREB1,DNA-PK,E2f,ELF4,ERK1/2,FANCD2,IKBKB,IKBKG,Jnk,LAMTOR5,MAP3K5,MAPK1,MAPK12,MAPK8,MDM4,NCF1,NFkB (complex),P38 MAPK,RB1,SMC3,TP53,VCP,ZEB1	3	Activated	2.685	2.46E-14	1.80E-02	ABCC1,AK1,ARRB1,B2M,BAX,BID,BUB1B,C3,CASP1,CBX1,CCL4,CD36,CD44,CD55,CD82,CDK1,CEBPA,CES2,CLEC11A,COL1A1,COL1A2,CTSD,DDX58,DNMT1,DUT,ECM1,EHD1,EIF2AK2,EIF4E,ENG,ERAP1,ERP29,EZR,FABP5,FAM3C,FKBP3,FN1,FOSL1,FUBP1,GBP1,GDF15,GLB1,GOLGA2,H2AX,HERC5,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,HLA-F,HMGB1,HMGN2,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IGFBP7,IL1RN,IPO7,ISCU,ISG15,JUN,JUND,KRT10,KYNU,LAP3,MAD1L1,MANF,MGST2,MIF,MT1G,MVP,MX2,NAMPT,NDRG1,NDUFS8,NFKB1,NFKB2,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,P4HB,PARP12,PFKP,PHGDH,PLAU,PLG,PML,PPM1A,PPP3CA,PPP4R2,PRAG1,PSEN1,PSME2,PTPN6,PXN,RAB4B,RAD23A,RALY,RBL2,RPS27L,RRAD,S100A4,SAR1A,SOD1,SPRY2,SRC,SSBP1,ST14,STAT1,STAT2,STMN1,TAF7,TAGLN2,TANK,TAP2,TAPBP,TDO2,TFRC,TGFBI,TGM2,THBD,TMSB10/TMSB4X,TPX2,TRADD,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,YWHAH,YWHAZ	142 (27)	25
IL5	 	cytokine	Akt,ERK1/2,IL5,JAK2,Mapk,MAPK1,STAT5a/b	2	Inhibited	-4.388	2.77E-14	3.00E-04	APOC3,ARRB1,AURKA,B2M,C3,CCL4,CD36,CD44,CDC123,CDKN2C,CEBPA,CLEC11A,CTSC,DDX58,EHD1,EIF2AK2,ERAP1,ERP29,EZR,FN1,FOSL1,GBP1,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,IDI1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,JUN,JUND,LAP3,MKI67,MMP2,MMP9,MVP,MX2,NACA,NDUFB8,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PEA15,PLG,PML,PSME2,RAB4B,RBM3,RFTN1,SET,SLC1A5,SOD1,SPRY2,STAT1,STAT2,STIP1,TAP1,TAP2,TAPBP,TPM4,TRIM21,TRIM25,UBE2I,UBE2L6,UPP1,UTP18,VIM,WTAP	79 (7)	7
PAQR3	 	other	Akt,Ap1,CCND1,CEBPB,CHEK1,DUSP1,ELK1,ERK,ERK1/2,GSK3B,NFkB (complex),NOS2,Notch,PAQR3,PPARG,PXN,RELA,RPS6KA1,RUNX2,RXRA,STAT1,STAT3	3	 	-0.548	2.85E-14	1.60E-02	ABCB1,AHNAK,ALB,APOB,APOBEC3G,ARHGDIB,ARRB1,ATP6AP2,B2M,BAX,BCLAF1,C11orf58,C3,C4A/C4B,CCL4,CD14,CD36,CD82,CDK6,CEBPA,CHI3L1,CLEC11A,COL1A1,COL1A2,COX4I1,CTSL,CTSS,DDX60,DNMT1,DOCK8,DR1,EEF1B2,EIF2AK2,ERAP1,EZR,FABP5,FOSL1,G3BP1,GBP1,GBP2,GBP4,GDF15,H2AX,HERC5,HK2,HLA-A,HLA-E,HLA-F,HSPB1,IFI16,IFI35,IFIH1,IFIT1,IFIT3,IGFBP3,IRF2BP2,ISG15,ITIH2,JUN,JUND,KAT2B,KRT10,KYNU,LASP1,LUM,MAP4K4,MARCKS,MMP2,MMP9,MTA1,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NPM1,NRP1,PEA15,PLAU,PLIN2,POSTN,PRMT1,PSIP1,PTPN2,PXN,RAB4B,RELA,RGS1,RMDN3,RPL13,RPL27A,RUNX1,S100A11,S100A4,S100A8,SAR1A,SEC61B,SHBG,SLC2A1,SLC7A11,SRC,SRFBP1,STAT1,TALDO1,TAP2,TAPBP,TDO2,TGFB1,TGM2,THBD,THBS1,TMSB10/TMSB4X,TPI1,TPM1,TRAF1,TRIM21,VIM,WTAP,ZFP91	120 (22)	20
Igm	 	complex	Akt,ERK,ERK1/2,Igm,MAP2K1,MAPK1,P38 MAPK,PHB,PI3K (family),TERT	2	Inhibited	-4.500	2.90E-14	3.00E-04	ARRB1,AURKA,B2M,BAX,C3,CD36,CD44,CD55,CD82,CEBPA,CLEC11A,COL1A1,CTSD,DDX58,DNMT1,EHD1,ERAP1,ERP29,EZR,FDPS,FN1,GBP1,GDF15,GOLGA2,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HMOX1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,JUND,LAP3,LGALS3,MAP4K4,MIF,MKI67,MVP,MX2,NDRG1,NDUFB8,NFKB1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PDCD4,PEA15,PLG,PML,POSTN,PREX1,PSME2,PXN,RAB4B,RELA,SLC2A1,SPRY2,STAT1,STAT2,TAP1,TAP2,TAPBP,TGFB1,TGM2,TRADD,TREM2,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM	83 (10)	10
ERK	 	group	Akt,Ap1,CCND1,CEBPB,DUSP1,ELK1,ERK,ERK1/2,GSK3B,NFkB (complex),NOS2,Notch,PPARG,PXN,RELA,RUNX2,RXRA,STAT1,STAT3	2	 	0.458	3.03E-14	1.44E-02	ABCB1,AHNAK,ALB,APOB,APOBEC3G,ARHGDIB,ARRB1,ATP6AP2,B2M,BAX,BCLAF1,C11orf58,C3,C4A/C4B,CCL4,CD14,CD36,CD82,CDK6,CEBPA,CHI3L1,CLEC11A,COL1A1,COL1A2,COX4I1,CTSL,CTSS,DDX60,DNMT1,DOCK8,DR1,EEF1B2,EIF2AK2,ERAP1,EZR,FABP5,FOSL1,G3BP1,GBP1,GBP2,GBP4,GDF15,HERC5,HK2,HLA-A,HLA-E,HLA-F,HSPB1,IFI16,IFI35,IFIH1,IFIT1,IFIT3,IGFBP3,IRF2BP2,ISG15,ITIH2,JUN,JUND,KAT2B,KRT10,KYNU,LASP1,LUM,MAP4K4,MARCKS,MMP2,MMP9,MTA1,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NPM1,NRP1,PEA15,PLAU,PLIN2,POSTN,PRMT1,PSIP1,PTPN2,PXN,RAB4B,RELA,RGS1,RMDN3,RPL13,RPL27A,RUNX1,S100A11,S100A4,S100A8,SAR1A,SEC61B,SHBG,SLC2A1,SLC7A11,SRC,SRFBP1,STAT1,TALDO1,TAP2,TAPBP,TDO2,TGFB1,TGM2,THBD,THBS1,TMSB10/TMSB4X,TPI1,TPM1,TRAF1,TRIM21,VIM,WTAP,ZFP91	119 (19)	19
PVR	 	other	BCAR1,CDH1,CHUK,EGFR,EIF2A,ERK,ERK1/2,FOS,IKBKB,KIT,Mapk,MAPK1,MAPK9,NFkB (complex),P38 MAPK,PRKAA,PVR,PXN,RAPGEF1,RB1,RHOA,RHOC,RUNX3,SRC,STAT3,STAT5a/b,YAP/TAZ,YAP1	3	 	-1.558	3.03E-14	6.90E-03	ABCB1,ACTB,APOA4,APOBEC3G,APOC3,ARRB1,ATP6AP2,AURKA,B2M,C3,CCL4,CD36,CD55,CD82,CDK6,CDKN2C,CHI3L1,CLEC11A,COL1A1,DDX58,DNMT1,EIF2AK2,EIF4E,ERP29,EZR,FABP5,GBP1,GDF15,GLUL,GOLGA2,GOT1,H2AX,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGN2,HYOU1,IDI1,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,ISG15,KAT2B,KRT10,KYNU,LAP3,LMNA,LPL,LSM3,MAP4K4,METAP2,MIF,MKI67,MMP2,MTA1,MVP,MX2,NAMPT,NDRG1,NFATC2,NFKB1,NFKB2,NPM1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PARP14,PCK2,PDIA3,PLAU,PLIN2,PML,POSTN,PPIA,PSAT1,PSIP1,PSMB3,PSMB7,PSME2,PTPN2,PXN,RAB4B,RBL2,RELA,RFTN1,RHOC,RUNX1,SAR1A,SLC2A1,SLC7A11,SOD1,SPRY2,SRC,SRSF1,SRSF2,STAT2,STIP1,TAP2,TAPBP,TDO2,TGM2,THBS1,TK1,TRADD,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18	119 (28)	26
ADAM17	-0.114	peptidase	ADAM17,Akt,AKT1,EGFR,ERK1/2,MAPK1,SHC1	2	Inhibited	-3.354	3.30E-14	2.00E-04	ARRB1,AURKA,B2M,BAX,C3,CCL4,CD44,CEBPA,CHI3L1,CLEC11A,DDX58,EHD1,EIF2AK2,ERAP1,ERP29,EZR,FLI1,FN1,FOSL1,GSTP1,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HMGB2,HMOX1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,ISG15,JUN,JUND,LAP3,MKI67,MMP2,MMP9,MVP,MX2,NDUFB8,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PEA15,PLAU,PLG,PML,POSTN,PPIA,PSMB3,PSMB7,PSME2,RAB4B,RELA,SLC7A11,SPRY2,SRSF1,STAT1,STAT2,TAP1,TAP2,TAPBP,TGM2,TRIM21,TRIM25,TXN,UBE2I,UBE2L6,UTP18,VIM,WTAP	80 (7)	6
FOXO1	 	transcription regulator	Akt,AR,CCND1,CDKN1A,CEBPA,CREB1,EGFR,ERK1/2,ESR1,EZH2,FOSL1,FOXO1,Hsp27,IRF3,IRS1,JUN,MAPK1,MAPK9,MED1,Mek,MMP12,NFE2L2,NR4A1,NRF1,PDGFRA,PHB2,SMAD3,STAT1,STING1,YBX1	3	Activated	2.454	3.33E-14	4.93E-02	A2M,ACSL1,AHNAK,ALB,ANO10,APOBEC3G,APOC3,ARPC5L,ARRB1,ASS1,B2M,BABAM2,BAX,BCAS3,BCLAF1,BUB1B,C11orf58,C3,C4A/C4B,CAST,CCL4,CDK1,CEBPA,CEBPB,CLEC11A,CLGN,CLTC,COX4I1,CP,CSF1R,CTSD,CTSS,DAB2,DDX58,DDX60,DEGS1,DHCR24,DHCR7,DNAJC21,DR1,EDF1,EEF1B2,EFEMP1,EIF2AK2,EIF4E,ENY2,ERMP1,ERP29,EZR,FOSL1,G3BP1,GBP2,GBP4,GDF15,GLB1,GOT1,H1-10,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HMGN2,HNRNPD,HYOU1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGLL1/IGLL5,INIP,IRF5,IRF8,ISG15,ITGB5,ITIH2,JUN,JUND,LAP3,LASP1,LGALS1,LMAN1,LMNA,LPL,LSM3,LTF,MAD1L1,MARCKS,METAP2,MKI67,MMP9,MSMO1,MVP,MX2,NAP1L1,NCOA7,NDUFB8,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PARP14,PDCD4,PDIA3,PEA15,PGD,PGLS,PHGDH,PLG,PLIN2,PML,POSTN,PPIA,PPP3CB,PSAT1,PSEN1,PSMA5,PSMB3,PSMB7,PSMD3,PSMD4,PSME2,PSME3,RAB4B,RABGAP1L,RBL2,RELA,RMDN3,RPL13,RPL27A,RSAD2,RUNX1,S100A9,SAMD9,SCPEP1,SEC61B,SERPINF1,SFPQ,SLC7A11,SPRY2,STAT2,STMN1,TACC1,TANK,TAP1,TAP2,TAPBP,TFB2M,TGFB1,THBD,THBS1,TKT,TPI1,TPX2,TREM2,TRIM21,TRIM25,TXN,UBE2I,UBE2L6,UTP18,VIM,WTAP,ZYX	170 (30)	30
LIG1	 	enzyme	ATM,CDK1,CHEK1,CHEK2,CREB1,DNA-PK,E2f,ELF4,ERK1/2,FANCD2,H2AX,IKBKB,IKBKG,LAMTOR5,LIG1,MAPK1,MAPK12,MDM4,NFkB (complex),RB1,SIAH2,SMC3,TP53,VCP,ZEB1	3	Inhibited	-3.161	3.45E-14	1.47E-02	ABCC1,AK1,ARRB1,B2M,BAX,BID,BUB1B,C3,CASP1,CBX1,CCL4,CD44,CDK1,CEBPA,CES2,CLEC11A,COL1A1,COL1A2,CTSD,DDX58,DNMT1,DUT,ECM1,EHD1,EIF2AK2,EIF4E,ENG,ERAP1,ERP29,EZR,FABP5,FAM3C,FKBP3,FN1,FOSL1,FUBP1,GBP1,GDF15,GLB1,H2AX,HERC5,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,HLA-F,HMGB1,HMGN2,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IGFBP7,IL1RN,IPO7,ISCU,ISG15,JUN,JUND,KRT10,KYNU,LAP3,MAD1L1,MANF,MGST2,MT1G,MVP,MX2,NAMPT,NCOR1,NDRG1,NDUFS8,NFKB1,NFKB2,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,P4HB,PARP12,PFKP,PHGDH,PLAU,PML,PPM1A,PPP3CA,PPP4R2,PRAG1,PSEN1,PSME2,PTPN6,PXN,RAB4B,RAD23A,RALY,RBL2,RPS27L,RRAD,S100A4,SAR1A,SLC2A1,SOD1,SPRY2,SRC,SSBP1,ST14,STAT1,STAT2,STMN1,TAF7,TAGLN2,TANK,TAP2,TAPBP,TDO2,TFRC,TGFBI,TGM2,THBD,THBS1,TMSB10/TMSB4X,TPX2,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,YWHAH	137 (25)	23
PRNP	 	other	ERK1/2,MAPK1,PRNP	2	Inhibited	-4.750	3.93E-14	1.00E-04	ABCB1,ARRB1,AURKA,B2M,C3,CCL4,CD44,CEBPA,CEBPB,CLEC11A,DAB2,DDX58,EHD1,EIF2AK2,ERAP1,ERP29,EZR,FN1,FOSL1,GBP1,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGF2,ISG15,JUN,JUND,LAP3,MKI67,MMP2,MVP,MX2,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PML,PSME2,RAB4B,RELA,SPRY2,STAT1,STAT2,TAP1,TAP2,TAPBP,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM	64 (3)	3
U2AF2	0.067	other	Akt,CDH1,CHUK,EGFR,EIF2A,ERK,ERK1/2,EZR,FOS,IGF1R,IKBKB,KIT,LCK,Mapk,MAPK1,MAPK8,MAPK9,MET,NFkB (complex),P38 MAPK,PRKAA,PTEN,PTK2,PXN,RAPGEF1,RB1,RHOA,RHOC,ROCK1,RUNX3,SRC,STAT3,STAT5a/b,Tgf beta,U2AF2,YAP/TAZ,YAP1	3	 	-1.145	3.96E-14	2.14E-02	ABCB1,ACTB,APOA4,APOBEC3G,APOC3,ARF4,ARRB1,ATP6AP2,AURKA,B2M,C3,CCL4,CD36,CD44,CD55,CD82,CDK6,CDKN2C,CHI3L1,CLEC11A,COL1A1,COL1A2,CTSD,DDX58,DNMT1,EIF2AK2,EIF4E,ERP29,EZR,FABP5,GBP1,GDF15,GLUL,GOLGA2,GOT1,H2AX,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGN2,HSPB1,HYOU1,IDI1,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,ISG15,KAT2B,KRT10,KYNU,LAP3,LMNA,LPL,LSM3,MAP4K4,METAP2,MIF,MKI67,MMP2,MMP9,MTA1,MVP,MX2,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NPM1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PARP14,PCK2,PDIA3,PEA15,PLAU,PLIN2,PML,POSTN,PPIA,PREX1,PSAT1,PSIP1,PSMB3,PSMB7,PSME2,PTPN1,PTPN2,RAB4B,RBL2,RFTN1,RHOC,RUNX1,SAR1A,SLC2A1,SLC7A11,SOD1,SPRY2,SRC,SRSF1,SRSF2,STAT2,STIP1,TAP2,TAPBP,TDO2,TGM2,THBS1,TK1,TRADD,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,WTAP	129 (37)	35
